county,state,deaths,pop
pope,arkansas,107,61754
searcy,arkansas,18,8195
sebastian,arkansas,274,125744
sevier,arkansas,29,17058
van buren,arkansas,23,17295
crowley,colorado,15,5823
grand,colorado,7,14843
morgan,colorado,93,28159
tolland,connecticut,182,152691
windham,connecticut,191,118428
hernando,florida,462,172778
indian river,florida,299,138028
jackson,florida,157,49746
martin,florida,320,146318
bibb,georgia,445,155547
early,georgia,48,11008
effingham,georgia,68,52250
glynn,georgia,172,79626
laurens,georgia,167,48434
peach,georgia,59,27695
rockdale,georgia,171,85215
owen,indiana,58,21575
tippecanoe,indiana,219,172780
wayne,indiana,202,68917
dubuque,iowa,207,93653
muscatine,iowa,99,42745
cherokee,kansas,52,21603
linn,kansas,12,9656
morris,kansas,22,5923
sedgwick,kansas,743,498365
christian,kentucky,104,73955
daviess,kentucky,182,96656
henderson,kentucky,75,46250
pulaski,kentucky,101,63063
scott,kentucky,32,47173
calvert,maryland,78,88737
wicomico,maryland,152,98733
hampshire,massachusetts,290,158080
clinton,michigan,82,75382
eaton,michigan,187,107759
genesee,michigan,871,425790
livingston,michigan,172,180967
midland,michigan,78,83629
mower,minnesota,32,39163
scott,minnesota,123,129928
holmes,mississippi,72,19198
jones,mississippi,163,67761
scott,mississippi,73,28264
walthall,mississippi,45,15443
wilkinson,mississippi,30,9878
winston,mississippi,81,19198
yazoo,mississippi,69,28065
broadwater,montana,5,5612
flathead,montana,93,90928
madison,montana,8,7691
roosevelt,montana,54,10425
nemaha,nebraska,15,7248
elko,nevada,56,48818
cape may,new jersey,201,97265
sussex,new jersey,296,149265
san miguel,new mexico,17,29393
schoharie,new york,16,32749
wayne,new york,67,93772
hamilton,ohio,1190,802374
montgomery,ohio,1010,535153
richland,ohio,206,124475
custer,oklahoma,99,27469
grady,oklahoma,121,52431
logan,oklahoma,56,41848
mcclain,oklahoma,69,34506
washington,oklahoma,108,50976
lancaster,pennsylvania,1112,519445
lebanon,pennsylvania,281,133568
westmoreland,pennsylvania,746,365169
abbeville,south carolina,41,25417
dorchester,south carolina,217,136555
saluda,south carolina,49,19875
cumberland,tennessee,128,56053
dyer,tennessee,105,38335
montgomery,tennessee,224,172331
washington,tennessee,245,122979
wilson,tennessee,233,113993
cameron,texas,1629,406220
crane,texas,12,4375
dewitt,texas,59,20097
johnson,texas,366,150934
van zandt,texas,117,52579
clallam,washington,9,71404
monongalia,west virginia,88,96189
tucker,west virginia,10,7141
bayfield,wisconsin,20,15014
calumet,wisconsin,52,48971
columbia,wisconsin,69,56833
eau claire,wisconsin,120,98736
ozaukee,wisconsin,91,86395
sauk,wisconsin,53,61976
walworth,wisconsin,159,102228
cullman,alabama,193,80406
jackson,alabama,110,53227
lamar,alabama,34,14564
lauderdale,alabama,238,92709
washington,alabama,39,17581
yuma,arizona,833,195751
amador,california,47,38091
imperial,california,720,174528
broomfield,colorado,75,55889
park,colorado,5,16206
san miguel,colorado,0,7359
new london,connecticut,441,274055
monroe,florida,50,73090
carroll,georgia,238,110527
chatham,georgia,453,265128
dawson,georgia,43,22330
douglas,georgia,215,132403
heard,georgia,19,11834
lamar,georgia,56,18317
lincoln,georgia,26,7996
miller,georgia,13,6125
monroe,georgia,100,26424
muscogee,georgia,451,189885
oconee,georgia,72,32808
pickens,georgia,79,29431
randolph,georgia,34,7719
spalding,georgia,188,64073
sumter,georgia,101,32819
terrell,georgia,47,9315
tift,georgia,125,40118
turner,georgia,39,8930
worth,georgia,68,21679
bingham,idaho,74,45607
canyon,idaho,292,188923
kootenai,idaho,207,138494
adams,illinois,149,67103
christian,illinois,91,34800
mclean,illinois,211,169572
allen,indiana,696,355329
grant,indiana,180,70061
shelby,indiana,106,44436
vanderburgh,indiana,400,179703
vigo,indiana,249,107848
reno,kansas,139,64511
riley,kansas,43,71115
calloway,kentucky,51,37191
worcester,maryland,98,51454
chisago,minnesota,51,53887
clay,minnesota,91,58999
fillmore,minnesota,9,20866
adams,mississippi,82,32297
franklin,mississippi,23,8118
humphreys,mississippi,32,9375
lafayette,mississippi,118,47351
lawrence,mississippi,23,12929
lee,mississippi,171,82910
marshall,mississippi,103,37144
pike,mississippi,105,40404
rankin,mississippi,278,141617
smith,mississippi,34,16491
tippah,mississippi,68,22232
christian,missouri,91,77422
dunklin,missouri,22,31953
pulaski,missouri,51,52274
scott,missouri,84,39191
buffalo,nebraska,58,46102
lancaster,nebraska,232,285407
nye,nevada,106,43946
cheshire,new hampshire,33,77117
cumberland,new jersey,423,156898
mckinley,new mexico,465,71492
columbia,new york,100,63096
fulton,new york,90,55531
genesee,new york,121,60079
niagara,new york,340,216469
oneida,new york,501,234878
carteret,north carolina,51,66469
davidson,north carolina,185,162878
franklin,north carolina,49,60619
orange,north carolina,101,133801
pasquotank,north carolina,80,40661
pitt,north carolina,86,168148
rowan,north carolina,300,138428
stanly,north carolina,131,60585
pierce,north dakota,25,4357
ramsey,north dakota,30,11451
ashtabula,ohio,168,101497
columbiana,ohio,229,107841
marion,ohio,137,66501
union,ohio,52,52300
warren,ohio,298,212693
garvin,oklahoma,77,27576
grant,oregon,4,7445
union,oregon,24,25748
centre,pennsylvania,220,153990
erie,pennsylvania,404,280566
franklin,pennsylvania,360,149618
potter,pennsylvania,23,17457
aiken,south carolina,221,160099
berkeley,south carolina,193,177843
clarendon,south carolina,112,34971
darlington,south carolina,173,68681
florence,south carolina,413,136885
orangeburg,south carolina,244,92501
pickens,south carolina,295,119224
sumter,south carolina,202,107456
anderson,tennessee,172,75129
blount,tennessee,195,123010
bradley,tennessee,149,98963
dickson,tennessee,110,49666
greene,tennessee,153,68831
hamblen,tennessee,172,62544
maury,tennessee,171,80956
tipton,tennessee,104,61081
brown,texas,136,38106
cass,texas,81,30464
fannin,texas,108,33915
hockley,texas,102,22935
upshur,texas,74,39309
addison,vermont,8,36821
rutland,vermont,20,61642
accomack,virginia,41,33164
gloucester,virginia,48,36858
newport news city,virginia,224,180719
norfolk city,virginia,254,242803
portsmouth city,virginia,188,95535
cowlitz,washington,85,102410
san juan,washington,0,15769
stevens,washington,28,43531
jackson,west virginia,63,29211
kanawha,west virginia,348,193063
chippewa,wisconsin,96,62415
douglas,wisconsin,51,44159
dunn,wisconsin,32,43857
green,wisconsin,24,36842
jefferson,wisconsin,132,83686
marathon,wisconsin,220,134063
rock,wisconsin,190,160331
st. croix,wisconsin,57,84345
campbell,wyoming,60,46133
natrona,wyoming,136,75450
marion,alabama,101,30776
apache,arizona,428,71518
cochise,arizona,284,131346
butte,california,198,220000
el dorado,california,110,181058
siskiyou,california,21,44900
yuba,california,44,72155
chaffee,colorado,25,17809
elbert,colorado,13,23086
hinsdale,colorado,0,843
montrose,colorado,58,41276
bay,florida,386,168852
highlands,florida,351,98786
marion,florida,955,331298
putnam,florida,145,74364
st. lucie,florida,626,277789
baldwin,georgia,128,45720
lumpkin,georgia,70,29966
dekalb,illinois,124,105160
delaware,indiana,192,117671
elkhart,indiana,451,197559
hancock,indiana,143,70002
harrison,indiana,74,39364
miami,indiana,66,36903
washington,indiana,31,28262
fayette,iowa,41,20880
henry,iowa,37,20145
linn,iowa,333,211226
story,iowa,48,89542
anderson,kentucky,21,21421
madison,kentucky,109,82916
spencer,kentucky,22,17061
sagadahoc,maine,10,35293
caroline,maryland,25,33066
somerset,maryland,37,26470
washington,maryland,274,147430
nantucket,massachusetts,2,10172
allegan,michigan,131,111408
barry,michigan,63,59173
berrien,michigan,270,156813
calhoun,michigan,271,136146
clare,michigan,74,30926
saginaw,michigan,577,200169
tuscola,michigan,163,55729
wexford,michigan,39,32735
dodge,minnesota,4,20087
jackson,minnesota,11,10266
st. louis,minnesota,302,200226
steele,minnesota,15,36576
wabasha,minnesota,3,21676
attala,mississippi,73,19564
clay,mississippi,54,20634
george,mississippi,47,22578
grenada,mississippi,85,21906
itawamba,mississippi,77,23401
leake,mississippi,73,23805
lincoln,mississippi,110,34869
lowndes,mississippi,144,59779
panola,mississippi,103,34707
simpson,mississippi,88,27503
tunica,mississippi,25,10778
union,mississippi,76,27134
washington,mississippi,133,51137
bates,missouri,29,17049
jasper,missouri,127,117404
johnson,missouri,52,52595
cascade,montana,169,81327
ravalli,montana,32,40212
strafford,new hampshire,82,123143
lea,new mexico,164,64727
steuben,new york,143,98990
buncombe,north carolina,323,238318
catawba,north carolina,298,154358
clermont,ohio,235,197363
defiance,ohio,102,39037
erie,ohio,184,77079
licking,ohio,209,166492
josephine,oregon,67,82713
butler,pennsylvania,406,183862
montour,pennsylvania,63,18267
dillon,south carolina,84,32062
edgefield,south carolina,42,26985
greenwood,south carolina,172,69661
jasper,south carolina,45,24777
marlboro,south carolina,53,28933
newberry,south carolina,101,37508
carroll,tennessee,83,28522
cocke,tennessee,98,35662
fayette,tennessee,78,38413
monroe,tennessee,95,44519
putnam,tennessee,174,72321
roane,tennessee,104,54181
scott,tennessee,45,22228
bastrop,texas,91,74171
castro,texas,32,8062
deaf smith,texas,66,19372
midland,texas,266,136872
oldham,texas,4,2052
potter,texas,446,121073
franklin,vermont,39,47746
windham,vermont,14,44513
albemarle,virginia,83,98970
botetourt,virginia,36,33148
franklin,virginia,74,56159
isle of wight,virginia,66,35270
mecklenburg,virginia,66,32727
suffolk city,virginia,186,84585
marshall,west virginia,77,33107
putnam,west virginia,100,55486
carbon,wyoming,23,15885
bradford,florida,56,28520
columbia,florida,169,67531
desoto,florida,93,34862
flagler,florida,113,95696
barrow,georgia,136,69367
butts,georgia,83,23655
chattooga,georgia,71,26015
clinch,georgia,26,6798
coffee,georgia,172,42356
tattnall,georgia,65,25520
twiggs,georgia,42,9023
valley,idaho,7,9862
champaign,illinois,152,201081
jo daviess,illinois,27,22678
livingston,illinois,96,38950
rock island,illinois,348,147546
stephenson,illinois,100,47711
monroe,indiana,170,137974
morgan,indiana,144,68894
putnam,indiana,60,37963
ripley,indiana,70,28818
scott,indiana,55,24181
tipton,indiana,47,15936
cerro gordo,iowa,89,44151
kossuth,iowa,64,15543
poweshiek,iowa,33,18914
